Author,Reference,Highlight,Publishing date,Year,Cell,Wafer doping,Wafer type,Wafer initial surface,Resitivity,Thickness,Junction location,Rear texture,Front texture,Protection layer,Texturing process,Protection layer removal,Cleaning,Emitter type,Sheet resistance,Emitter process,BSF Sheet resistance,BSF type,BSF process,Annealing temperature ©,Annealing time (min),Passivation front,Passivation front process,interconnection,Inter-layer,Inter-layer thicknes,Inter-layer process,Inter-layer process temperature,Annealing temperature ©,Annealing time (min),Clean before perovskite,Photolithography,Oxidation time,Oxidation temperature,Surface removal,Surface removal process,Rear passivation,Rear local contact,Rear passivation process,Rear metal,Rear electrode,Rear TCO thickness,Rear metal thickness,Rear metal order,Rear metal process,Annealing temperature,Annealing time,Surface removal,Surface removal process,Perovskite polarity,ETL,HTL,Cell isolation,Substrate area,Cell area,Cell active area,Buffer layer,Front electrode,Front metal,Front TCO,Front TCO thickness,Total front TCO thickness,Front TCO process,Front metal thickness [nm],Grid,Finger width [um],Finger spacing [mm],Front metal process,Scan direction,Bandgap,Voc tandem,Jsc tandem,FF tandem,n tandem,Jsc silicon,Jsc perovskite,Certified,Stability conditions,Stability result,Damp heat,Voc silicon,FF silicon,n silicon,Jsc silicon cell,Obs,
Mailoa et al.,https://aip.scitation.org/doi/full/10.1063/1.4914179,First 2-terminal tandem,24/03/2015,2015,homojunction,n-type,FZ,DSP,01-May,300,Front,Pyramids,Planar,SiNx - PECVD,KOH,HF dip,RCA,Si(p),,ion implantation,,Si(n),ion implantation,960,30,a-Si:H(i),PECVD,tunneling,a*-Si:H(n),Mar-30,PECVD,250,680,15,"HF dip, DIW dip, N2 drying ",Yes,,,Oxide,HF,None,No,None,Ti/Pd/Ag/Pt ,Ti/Pd/Ag/Pt,0,20/20/300/30 ,Before,electron-beam evaporation,400,5,Oxide,HF,n-i-p,TiO2,Spiro-OMeTAD,Laser - back,1.96,1.21,1,None,Ag Nanowires/Ag,Ag,AgNWs,0,0,,300,No,0,0,thermal evaporation,Tracking,1.61,1580,11.5,75,13.7,14.7,11.5,No,,,,,,,,,
Ito et al.,https://iopscience.iop.org/article/10.1149/06904.0003ecst,Early 2-terminal tandem,01/07/2015,2015,Not clear,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,265.5,,,,,,,,,,,,,,Not clear,Not clear,Not clear,,,,,,,,Not clear,,,,,,Not clear,Not clear,,,Not clear,Not clear,Not clear,,,,,,,not clear,,,,,13.7,,,No,,,,,,,,,
Albrecht et al.,https://pubs.rsc.org/en/content/articlepdf/2016/ee/c5ee02965a,First tandem processed at low-temperatures,27/10/2015,2015,SHJ,n-type,FZ,DSP,02-May,255,Front,Planar,Planar,-,-,-,RCA,Si(p),,PECVD,,Si(n),PECVD,,,a-Si:H(i),PECVD,recombination,ITO,80,magnetron RF sputtering,25,,,Not clear,,,,,,a-Si:H(i),No,PECVD,Ag,AZO/Ag,70,70/200,Before,Sputtering,200,5,,,n-i-p,SnO2,Spiro-OMeTAD,,-,-,0.16,MoOx,ITO,None,ITO,80,80,,0,No,0,0,magnetron RF sputtering,Reverse,Not clear,1785,11.8,79.5,16.8,14.67,14.01,No,,,,703,71.4,15.7,31.8,Single reference junctions in standard device configuration. 1 cm2 active area with metal grid.,
Albrecht et al.,https://pubs.rsc.org/en/content/articlepdf/2016/ee/c5ee02965a,First tandem processed at low-temperatures,27/10/2015,2015,SHJ,n-type,FZ,DSP,02-May,255,Front,Planar,Planar,-,-,-,RCA,Si(p),,PECVD,,Si(n),PECVD,,,a-Si:H(i),PECVD,recombination,ITO,80,magnetron RF sputtering,25,,,Not clear,,,,,,a-Si:H(i),No,PECVD,Ag,AZO/Ag,70,70/200,Before,Sputtering,200,5,,,n-i-p,SnO2,Spiro-OMeTAD,,-,-,0.16,MoOx,ITO,None,ITO,80,80,,0,No,0,0,magnetron RF sputtering,Forward,Not clear,1759,11.8,77.3,16.1,14.67,14.01,No,,,,703,71.4,15.7,31.8,Single reference junctions in standard device configuration. 1 cm2 active area with metal grid.,
Albrecht et al.,https://pubs.rsc.org/en/content/articlepdf/2016/ee/c5ee02965a,First tandem processed at low-temperatures,27/10/2015,2015,SHJ,n-type,FZ,DSP,02-May,255,Front,Planar,Planar,-,-,-,RCA,Si(p),,PECVD,,Si(n),PECVD,,,a-Si:H(i),PECVD,recombination,ITO,80,magnetron RF sputtering,25,,,Not clear,,,,,,a-Si:H(i),No,PECVD,Ag,AZO/Ag,70,70/200,Before,Sputtering,200,5,,,n-i-p,SnO2,Spiro-OMeTAD,,-,-,0.16,MoOx,ITO,None,ITO,80,80,,0,No,0,0,magnetron RF sputtering,Reverse,Not clear,,,,19.9,14.67,14.01,No,,,,,,,,,
Albrecht et al.,https://pubs.rsc.org/en/content/articlepdf/2016/ee/c5ee02965a,First tandem processed at low-temperatures,27/10/2015,2015,SHJ,n-type,FZ,DSP,02-May,255,Front,Planar,Planar,-,-,-,RCA,Si(p),,PECVD,,Si(n),PECVD,,,a-Si:H(i),PECVD,recombination,ITO,80,magnetron RF sputtering,25,,,Not clear,,,,,,a-Si:H(i),No,PECVD,Ag,AZO/Ag,70,70/200,Before,Sputtering,200,5,,,n-i-p,SnO2,Spiro-OMeTAD,,-,-,0.16,MoOx,ITO,None,ITO,80,80,,0,No,0,0,magnetron RF sputtering,Forward,Not clear,,,,19.1,14.67,14.01,No,,,,,,,,,
Albrecht et al.,https://pubs.rsc.org/en/content/articlepdf/2016/ee/c5ee02965a,First tandem processed at low-temperatures,27/10/2015,2015,SHJ,n-type,FZ,DSP,02-May,255,Front,Planar,Planar,-,-,-,RCA,Si(p),,PECVD,,Si(n),PECVD,,,a-Si:H(i),PECVD,recombination,ITO,80,magnetron RF sputtering,25,,,Not clear,,,,,,a-Si:H(i),No,PECVD,Ag,AZO/Ag,70,70/200,Before,Sputtering,200,5,,,n-i-p,SnO2,Spiro-OMeTAD,,-,-,0.16,MoOx,ITO,None,ITO,80,80,,0,No,0,0,magnetron RF sputtering,Tracking,Not clear,,,,18.1,14.67,14.01,No,,,,,,,,,
Werner et al.,https://pubs.acs.org/doi/pdf/10.1021/acs.jpclett.5b02686,Area > 1 cm2,19/12/2015,2015,SHJ,n-type,FZ,DSP,01-May,260 - 300,Front,Planar,Planar,-,-,-,,Si(p),,PECVD,,Si(n),PECVD,,,a-Si:H(i),PECVD,recombination,IZO,Not clear,sputtering,25,,,UV-Ozone,,,,,,a-Si:H(i),No,PECVD,Ag,ITO/Ag,Not clear,,Not clear,Not clear,Not clear,Not clear,,,n-i-p,PCBM/PEIE,Spiro-OMeTAD,,-,-,1.22,MoOx,IO:H/ITO/Au,Au,IO:H/ITO,100/10,110,,100,No,400,4.5,thermal evaporation,Reverse,,1694,13.4,72.9,16.6,15.1,14.6,No,,,,704,74.4,16.8,32.1,No filter. Silicon area 1.22 cm2,
Werner et al.,https://pubs.acs.org/doi/pdf/10.1021/acs.jpclett.5b02686,Area > 1 cm2,19/12/2015,2015,SHJ,n-type,FZ,DSP,01-May,260 - 300,Front,Planar,Planar,-,-,-,,Si(p),,PECVD,,Si(n),PECVD,,,a-Si:H(i),PECVD,recombination,IZO,Not clear,sputtering,25,,,UV-Ozone,,,,,,a-Si:H(i),No,PECVD,Ag,ITO/Ag,Not clear,,Not clear,Not clear,Not clear,Not clear,,,n-i-p,PCBM/PEIE,Spiro-OMeTAD,,-,-,1.22,MoOx,IO:H/ITO/Au,Au,IO:H/ITO,100/10,110,,100,No,400,4.5,thermal evaporation,Forward,,1700,13.4,75.5,17.2,15.1,14.6,No,,,,704,74.4,16.8,32.1,,
Werner et al.,https://pubs.acs.org/doi/pdf/10.1021/acs.jpclett.5b02686,Area > 1 cm2 - ARF,19/12/2015,2015,SHJ,n-type,FZ,DSP,01-May,260 - 300,Front,Planar,Planar,-,-,-,,Si(p),,PECVD,,Si(n),PECVD,,,a-Si:H(i),PECVD,recombination,IZO,Not clear,sputtering,25,,,UV-Ozone,,,,,,a-Si:H(i),No,PECVD,Ag,ITO/Ag,Not clear,,Not clear,Not clear,Not clear,Not clear,,,n-i-p,PCBM/PEIE,Spiro-OMeTAD,,-,-,1.22,MoOx,IO:H/ITO/Au,Au,IO:H/ITO,100/10,110,,100,No,400,4.5,thermal evaporation,Reverse,,1701,16.1,70.1,19.2,16.8,17.4,No,,,,704,74.4,16.8,32.1,,
