Author,Reference,Highlight,Publishing date,Year,Cell,Wafer doping,Wafer type,Wafer initial surface,Resitivity,Thickness,Junction location,Rear texture,Front texture,Protection layer,Texturing process,Protection layer removal,Cleaning,Emitter type,Sheet resistance,Emitter process,BSF Sheet resistance,BSF type,BSF process,Annealing temperature ©,Annealing time (min),Passivation front,Passivation front process,interconnection,Inter-layer,Inter-layer thicknes,Inter-layer process,Inter-layer process temperature,Annealing temperature ©,Annealing time (min),Clean before perovskite,Photolithography,Oxidation time,Oxidation temperature,Surface removal,Surface removal process,Rear passivation,Rear local contact,Rear passivation process,Rear metal,Rear electrode,Rear TCO thickness,Rear metal thickness,Rear metal order,Rear metal process,Annealing temperature,Annealing time,Surface removal,Surface removal process,Perovskite polarity,ETL,HTL,Cell isolation,Substrate area,Cell area,Cell active area,Buffer layer,Front electrode,Front metal,Front TCO,Front TCO thickness,Total front TCO thickness,Front TCO process,Front metal thickness [nm],Grid,Finger width [um],Finger spacing [mm],Front metal process,Scan direction,Bandgap,Voc tandem,Jsc tandem,FF tandem,n tandem,Jsc silicon,Jsc perovskite,Certified,Stability conditions,Stability result,Damp heat,Voc silicon,FF silicon,n silicon,Jsc silicon cell,Obs,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mailoa et al.,https://aip.scitation.org/doi/full/10.1063/1.4914179,First 2-terminal tandem,24/03/2015,2015,homojunction,n-type,FZ,DSP,1 - 5,300,Front,Pyramids,Planar,SiNx - PECVD,KOH,HF dip,RCA,Si(p),,ion implantation,,Si(n),ion implantation,960,30,a-Si:H(i),PECVD,tunneling,a*-Si:H(n),3/30,PECVD,250,680,15,"HF dip, DIW dip, N2 drying ",Yes,,,Oxide,HF,None,No,None,Ti/Pd/Ag/Pt ,Ti/Pd/Ag/Pt ,0,20/20/300/30 ,Before,electron-beam evaporation,400,5,Oxide,HF,n-i-p,TiO2,Spiro-OMeTAD,Laser - back,1.96,1.21,1,,Ag Nanowires/Ag,Ag,None,0,0,,300,No,0,0,thermal evaporation,Tracking,1.61,1580,11.5,75,13.7,14.7,11.5,No,,,,,,,,,
Qin et al.,https://ieeexplore.ieee.org/document/7356417,Mechanical 2T,2015,2015,heterojunction,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,100-200,,,,,,,,,,,,,,Al,Al,0,,,,,,,,n-i-p,,,,-,0.5,Not clear,None,,,FTO,Not clear,Not clear,,,,,,,not clear,,,,,14.3,,,No,,,,,,,,,
Uzum et al.,https://ieeexplore.ieee.org/document/7355659,Mechanical 2T,2015,2015,Not clear,,,,,,,,,,,,,,,,,,,,,,,-,"Au, AgNWs","250 nm AgNWs, not clear Au",,,,,,,,,,,,,,Al,Al,0,,,,,,,,n-i-p,,,,0.25,-,-,-,,,FTO,FTO,Not clear,,,,,,,not clear,,,,,5.94,,,No,,,,,,,,,
Albrecht et al.,https://pubs.rsc.org/en/content/articlepdf/2016/ee/c5ee02965a,First tandem processed at low-temperatures,27/10/2015,2016,SHJ,n-type,FZ,DSP,2 - 5,255,Front,Planar,Planar,-,-,-,RCA,Si(p),,PECVD,,Si(n),PECVD,,,a-Si:H(i),PECVD,recombination,ITO,80,magnetron RF sputtering,25,,,Not clear,,,,,,a-Si:H(i),No,PECVD,Ag,AZO/Ag,70,70/200,Before,Sputtering,200,5,,,n-i-p,SnO2,Spiro-OMeTAD,,-,-,0.16,MoOx,ITO,None,ITO,80,80,,0,No,0,0,magnetron RF sputtering,Reverse,Not clear,1785,11.8,79.5,16.8,14.67,14.01,No,,,,703,71.4,15.7,31.8,Single reference junctions in standard device configuration. 1 cm2 active area with metal grid.,
Albrecht et al.,https://pubs.rsc.org/en/content/articlepdf/2016/ee/c5ee02965a,First tandem processed at low-temperatures,27/10/2015,2016,SHJ,n-type,FZ,DSP,2 - 5,255,Front,Planar,Planar,-,-,-,RCA,Si(p),,PECVD,,Si(n),PECVD,,,a-Si:H(i),PECVD,recombination,ITO,80,magnetron RF sputtering,25,,,Not clear,,,,,,a-Si:H(i),No,PECVD,Ag,AZO/Ag,70,70/200,Before,Sputtering,200,5,,,n-i-p,SnO2,Spiro-OMeTAD,,-,-,0.16,MoOx,ITO,None,ITO,80,80,,0,No,0,0,magnetron RF sputtering,Forward,Not clear,1759,11.8,77.3,16.1,14.67,14.01,No,,,,703,71.4,15.7,31.8,Single reference junctions in standard device configuration. 1 cm2 active area with metal grid.,
Albrecht et al.,https://pubs.rsc.org/en/content/articlepdf/2016/ee/c5ee02965a,First tandem processed at low-temperatures,27/10/2015,2016,SHJ,n-type,FZ,DSP,2 - 5,255,Front,Planar,Planar,-,-,-,RCA,Si(p),,PECVD,,Si(n),PECVD,,,a-Si:H(i),PECVD,recombination,ITO,80,magnetron RF sputtering,25,,,Not clear,,,,,,a-Si:H(i),No,PECVD,Ag,AZO/Ag,70,70/200,Before,Sputtering,200,5,,,n-i-p,SnO2,Spiro-OMeTAD,,-,-,0.16,MoOx,ITO,None,ITO,80,80,,0,No,0,0,magnetron RF sputtering,Reverse,Not clear,,,,19.9,14.67,14.01,No,,,,,,,,,
Albrecht et al.,https://pubs.rsc.org/en/content/articlepdf/2016/ee/c5ee02965a,First tandem processed at low-temperatures,27/10/2015,2016,SHJ,n-type,FZ,DSP,2 - 5,255,Front,Planar,Planar,-,-,-,RCA,Si(p),,PECVD,,Si(n),PECVD,,,a-Si:H(i),PECVD,recombination,ITO,80,magnetron RF sputtering,25,,,Not clear,,,,,,a-Si:H(i),No,PECVD,Ag,AZO/Ag,70,70/200,Before,Sputtering,200,5,,,n-i-p,SnO2,Spiro-OMeTAD,,-,-,0.16,MoOx,ITO,None,ITO,80,80,,0,No,0,0,magnetron RF sputtering,Forward,Not clear,,,,19.1,14.67,14.01,No,,,,,,,,,
Albrecht et al.,https://pubs.rsc.org/en/content/articlepdf/2016/ee/c5ee02965a,First tandem processed at low-temperatures,27/10/2015,2016,SHJ,n-type,FZ,DSP,2 - 5,255,Front,Planar,Planar,-,-,-,RCA,Si(p),,PECVD,,Si(n),PECVD,,,a-Si:H(i),PECVD,recombination,ITO,80,magnetron RF sputtering,25,,,Not clear,,,,,,a-Si:H(i),No,PECVD,Ag,AZO/Ag,70,70/200,Before,Sputtering,200,5,,,n-i-p,SnO2,Spiro-OMeTAD,,-,-,0.16,MoOx,ITO,None,ITO,80,80,,0,No,0,0,magnetron RF sputtering,Tracking,Not clear,,,,18.1,14.67,14.01,No,,,,,,,,,
